,p_current_age,p_age_first_offense,p_charge,p_jail30,p_prison,p_probation,race_black,race_white,race_hispanic,race_asian,race_native,recid_use(label)
43,26,26,2,0,0,0,0,0,0,0,0,0
44,28,18,22,0,0,5,1,0,0,0,0,0
45,21,20,8,0,0,0,1,0,0,0,0,1
46,27,27,1,0,0,0,0,0,1,0,0,0
47,46,35,6,0,0,1,1,0,0,0,0,0
48,32,21,7,0,0,0,1,0,0,0,0,0
49,35,21,12,0,0,0,0,1,0,0,0,1
50,43,16,18,0,5,2,0,1,0,0,0,0
51,20,18,6,0,0,0,1,0,0,0,0,1
52,26,19,9,0,0,0,1,0,0,0,0,1
53,27,19,13,0,0,1,1,0,0,0,0,0
54,58,58,2,0,0,0,0,0,1,0,0,0
55,31,31,1,0,0,0,0,0,0,0,0,0
56,53,53,1,0,0,0,1,0,0,0,0,0
57,42,26,9,1,3,0,0,0,1,0,0,1
58,43,26,15,2,3,0,0,0,1,0,0,0
59,19,18,4,0,0,0,0,0,1,0,0,0
60,30,30,10,0,0,0,1,0,0,0,0,0
61,26,22,10,0,0,0,1,0,0,0,0,1
62,26,22,12,0,0,0,1,0,0,0,0,1
63,19,19,4,0,0,0,1,0,0,0,0,1
64,19,19,2,0,0,0,0,1,0,0,0,0
65,24,21,3,0,0,0,1,0,0,0,0,1
66,29,29,1,0,0,0,1,0,0,0,0,0
67,26,19,16,0,1,0,1,0,0,0,0,1
68,27,19,18,0,1,0,1,0,0,0,0,1
69,18,18,4,0,0,0,0,0,0,0,0,1
70,19,17,7,0,0,0,1,0,0,0,0,1
71,23,20,16,0,0,1,0,1,0,0,0,1
72,18,18,2,0,0,0,0,0,0,0,0,1
73,18,18,2,0,0,0,0,1,0,0,0,0
74,36,32,3,0,0,0,0,1,0,0,0,1
75,51,51,2,0,0,0,0,1,0,0,0,0
76,42,42,1,0,0,0,0,0,1,0,0,0
77,28,22,2,0,0,0,1,0,0,0,0,0
78,36,36,3,0,0,0,0,1,0,0,0,1
79,21,15,21,0,1,2,0,1,0,0,0,1
80,27,27,2,0,0,0,0,1,0,0,0,0
81,29,29,1,0,0,0,0,1,0,0,0,0
82,36,33,3,0,0,1,0,1,0,0,0,0
83,40,40,3,0,0,0,0,1,0,0,0,0
84,18,18,8,0,0,0,1,0,0,0,0,1
85,18,18,13,0,0,0,1,0,0,0,0,1
86,35,32,10,0,0,1,0,1,0,0,0,1
87,24,18,5,0,1,2,1,0,0,0,0,0
88,30,30,2,0,0,0,0,1,0,0,0,0
89,31,18,14,0,0,3,1,0,0,0,0,1
90,35,34,6,0,0,0,1,0,0,0,0,0
91,38,38,2,0,0,0,0,1,0,0,0,1
92,38,38,3,0,0,0,0,1,0,0,0,0
93,38,17,21,1,3,0,1,0,0,0,0,1
94,20,19,6,0,0,0,1,0,0,0,0,1
95,31,16,51,0,5,4,1,0,0,0,0,1
96,29,23,2,0,0,0,1,0,0,0,0,0
97,24,18,18,0,0,0,1,0,0,0,0,0
98,28,27,6,0,0,0,0,0,0,0,0,0
99,27,18,27,0,0,3,0,1,0,0,0,1
100,50,39,5,0,0,0,0,1,0,0,0,0
101,31,18,30,0,0,3,1,0,0,0,0,1
102,39,19,16,0,0,2,0,1,0,0,0,0
103,28,28,6,0,0,0,0,1,0,0,0,0
104,22,22,2,0,0,0,1,0,0,0,0,0
105,20,20,1,0,0,0,1,0,0,0,0,0
106,42,31,5,0,0,2,0,1,0,0,0,1
107,28,28,7,0,0,1,1,0,0,0,0,1
108,28,28,4,0,0,0,0,1,0,0,0,1
109,27,22,2,0,0,0,1,0,0,0,0,0
110,56,55,3,0,0,0,0,1,0,0,0,1
111,26,18,35,1,1,1,1,0,0,0,0,0
112,40,40,2,0,0,0,0,1,0,0,0,0
113,31,18,13,0,0,2,1,0,0,0,0,1
114,29,19,18,0,0,4,1,0,0,0,0,1
115,30,19,21,0,0,4,1,0,0,0,0,0
116,24,18,6,0,2,0,1,0,0,0,0,1
117,18,18,1,0,0,0,1,0,0,0,0,0
118,24,24,3,0,0,0,0,1,0,0,0,0
119,58,47,5,0,0,0,1,0,0,0,0,1
120,49,25,19,0,0,1,0,0,0,0,0,1
121,27,22,3,0,0,0,0,0,1,0,0,0
122,23,23,3,0,0,0,1,0,0,0,0,1
123,27,23,14,0,1,0,0,1,0,0,0,1
124,27,22,8,0,0,0,1,0,0,0,0,0
125,46,30,7,0,1,0,0,1,0,0,0,0
126,19,19,1,0,0,0,1,0,0,0,0,0
127,42,29,10,0,0,0,0,1,0,0,0,1
128,28,28,2,0,0,0,0,1,0,0,0,0
129,22,19,2,0,0,0,1,0,0,0,0,1
130,20,20,1,0,0,0,0,0,1,0,0,0
131,29,23,9,0,0,3,1,0,0,0,0,0
132,49,48,7,0,0,0,0,0,1,0,0,0
133,58,22,13,0,0,1,1,0,0,0,0,0
134,25,18,7,0,0,0,1,0,0,0,0,1
135,51,47,4,0,0,0,0,0,1,0,0,0
136,55,54,5,0,0,0,0,0,1,0,0,1
137,54,54,2,0,0,0,0,1,0,0,0,0
138,22,22,1,0,0,0,0,0,0,0,0,0
139,44,23,42,0,5,2,1,0,0,0,0,1
140,45,23,51,2,5,2,1,0,0,0,0,0
141,21,21,1,0,0,0,1,0,0,0,0,1
142,55,50,3,0,0,1,0,0,1,0,0,0
143,63,52,3,0,0,0,1,0,0,0,0,0
144,43,29,20,0,0,3,0,1,0,0,0,1
145,29,19,19,0,1,0,1,0,0,0,0,1
146,35,32,3,0,0,1,1,0,0,0,0,1
147,36,36,3,0,0,0,0,1,0,0,0,1
148,42,21,4,0,0,1,0,1,0,0,0,0
149,31,21,6,0,0,1,1,0,0,0,0,1
150,35,18,29,1,5,4,1,0,0,0,0,0
151,21,21,3,0,0,0,1,0,0,0,0,0
152,34,18,5,0,0,1,0,0,0,0,0,1
153,48,48,62,0,0,0,0,1,0,0,0,0
154,35,35,3,0,0,0,0,1,0,0,0,0
155,40,37,9,0,0,1,0,1,0,0,0,0
156,23,22,9,0,0,0,1,0,0,0,0,1
157,24,24,1,0,0,0,1,0,0,0,0,0
158,25,25,2,0,0,0,1,0,0,0,0,0
159,25,21,11,0,0,2,0,1,0,0,0,1
160,35,25,4,0,0,1,1,0,0,0,0,0
161,25,24,3,0,0,0,1,0,0,0,0,0
162,18,17,5,0,0,0,1,0,0,0,0,0
163,53,42,10,0,0,1,0,1,0,0,0,1
164,35,20,29,0,3,3,1,0,0,0,0,0
165,25,25,2,0,0,0,0,0,1,0,0,0
166,49,49,1,0,0,0,0,1,0,0,0,1
167,48,48,1,0,0,0,0,1,0,0,0,0
168,33,32,4,0,0,0,0,0,0,0,0,1
169,45,45,2,0,0,0,1,0,0,0,0,0
170,27,23,5,0,0,1,1,0,0,0,0,0
171,39,20,7,0,0,0,1,0,0,0,0,0
172,24,18,22,0,0,1,1,0,0,0,0,1
173,33,33,1,0,0,0,1,0,0,0,0,0
174,51,27,28,1,3,2,1,0,0,0,0,0
175,20,19,3,0,0,0,1,0,0,0,0,0
176,39,39,1,0,0,0,1,0,0,0,0,0
177,49,49,2,0,0,0,0,1,0,0,0,0
178,40,34,35,0,0,1,0,1,0,0,0,1
179,49,49,2,0,0,0,1,0,0,0,0,0
180,26,19,4,0,0,1,0,1,0,0,0,0
181,19,19,1,0,0,0,1,0,0,0,0,0
182,27,26,10,0,0,0,1,0,0,0,0,0
183,23,19,10,0,0,0,0,0,1,0,0,1
184,30,16,25,0,0,2,1,0,0,0,0,0
185,50,41,8,0,0,1,0,1,0,0,0,0
186,41,34,15,0,0,0,0,1,0,0,0,1
187,22,22,1,0,0,0,1,0,0,0,0,0
188,18,18,2,0,0,0,0,1,0,0,0,1
189,35,35,2,0,0,0,0,0,0,0,0,0
190,38,33,6,0,0,0,0,0,0,0,0,0
191,34,19,15,0,0,2,0,1,0,0,0,1
192,28,28,1,0,0,0,0,0,1,0,0,0
193,20,20,1,0,0,0,0,0,1,0,0,1
194,20,20,3,0,0,0,0,0,1,0,0,0
195,21,15,13,0,0,3,0,1,0,0,0,1
196,20,20,1,0,0,0,0,0,1,0,0,0
197,18,18,4,0,0,0,1,0,0,0,0,1
198,18,18,6,0,0,1,1,0,0,0,0,0
199,27,20,7,0,0,0,1,0,0,0,0,1
200,36,36,2,0,0,0,0,0,0,0,0,0
201,18,18,3,0,0,0,1,0,0,0,0,0
202,19,19,2,0,0,0,0,0,1,0,0,0
203,49,49,1,0,0,0,1,0,0,0,0,0
204,46,46,2,0,0,0,1,0,0,0,0,0
205,22,22,4,0,0,0,0,1,0,0,0,0
206,24,24,2,0,0,0,0,1,0,0,0,1
207,19,16,6,0,0,1,1,0,0,0,0,1
208,19,16,13,0,0,1,1,0,0,0,0,1
209,20,18,3,0,0,0,0,1,0,0,0,0
210,38,19,6,0,0,1,1,0,0,0,0,0
211,23,23,2,0,0,0,0,0,0,0,0,0
212,41,19,40,0,3,0,1,0,0,0,0,0
213,50,46,10,0,0,0,1,0,0,0,0,1
214,50,46,13,0,0,0,1,0,0,0,0,0
215,40,40,3,0,0,0,1,0,0,0,0,0
216,67,67,1,0,0,0,0,1,0,0,0,0
217,18,18,2,0,0,0,1,0,0,0,0,1
218,32,18,16,0,0,2,0,1,0,0,0,0
219,31,26,11,0,0,1,1,0,0,0,0,0
220,21,21,3,0,0,0,0,1,0,0,0,1
221,31,22,10,0,0,0,1,0,0,0,0,1
222,37,20,10,0,0,0,1,0,0,0,0,1
223,37,20,17,0,0,0,1,0,0,0,0,0
224,21,21,1,0,0,0,0,0,0,0,0,0
225,55,22,12,0,0,0,0,1,0,0,0,0
226,18,18,1,0,0,0,1,0,0,0,0,0
227,53,31,31,0,2,3,1,0,0,0,0,0
228,20,19,5,0,0,0,1,0,0,0,0,1
229,59,59,2,0,0,0,0,1,0,0,0,0
230,34,30,11,0,0,0,0,1,0,0,0,0
231,41,37,5,0,0,0,0,0,0,0,0,1
232,30,22,6,0,0,0,1,0,0,0,0,0
233,21,21,3,0,0,0,0,0,1,0,0,0
234,24,24,1,0,0,0,1,0,0,0,0,0
235,42,42,1,0,0,0,0,1,0,0,0,1
236,25,18,4,0,0,0,0,1,0,0,0,1
237,39,39,2,0,0,0,0,1,0,0,0,0
238,21,17,15,0,0,1,0,0,0,0,0,1
239,25,25,1,0,0,0,1,0,0,0,0,0
240,19,16,3,0,0,1,1,0,0,0,0,0
241,49,49,2,0,0,0,0,1,0,0,0,0
242,54,54,1,0,0,0,0,1,0,0,0,0
243,18,18,10,0,0,0,1,0,0,0,0,1
244,24,22,8,0,0,1,0,1,0,0,0,0
245,21,17,7,0,0,0,1,0,0,0,0,1
246,25,23,3,0,0,1,0,1,0,0,0,1
247,42,38,6,0,0,0,1,0,0,0,0,0
248,18,17,4,0,0,0,0,0,1,0,0,0
249,33,33,1,0,0,0,1,0,0,0,0,0
250,21,19,7,0,0,0,0,1,0,0,0,1
251,20,18,4,0,0,0,0,0,1,0,0,0
252,26,20,7,0,0,0,0,1,0,0,0,1
253,18,18,1,0,0,0,1,0,0,0,0,1
254,34,34,1,0,0,0,0,1,0,0,0,0
255,21,21,1,0,0,0,1,0,0,0,0,0
256,27,27,1,0,0,0,1,0,0,0,0,0
257,26,26,1,0,0,0,0,1,0,0,0,0
258,49,44,4,0,0,1,0,0,1,0,0,0
259,21,19,4,0,0,0,1,0,0,0,0,0
260,44,36,8,0,0,1,1,0,0,0,0,1
261,35,35,5,0,0,0,0,1,0,0,0,0
262,25,18,2,0,0,0,0,0,1,0,0,1
263,37,37,1,0,0,0,0,0,0,0,0,0
264,18,18,3,0,0,0,0,1,0,0,0,0
265,66,66,3,0,0,0,0,1,0,0,0,0
266,23,18,10,0,1,4,1,0,0,0,0,1
267,19,19,2,0,0,0,0,1,0,0,0,0
268,20,20,2,0,0,0,1,0,0,0,0,1
269,47,37,9,0,0,1,1,0,0,0,0,0
270,26,23,5,0,0,0,1,0,0,0,0,0
271,58,58,1,0,0,0,0,1,0,0,0,0
272,20,16,7,0,1,1,1,0,0,0,0,1
273,33,26,11,0,0,0,0,0,1,0,0,0
274,27,27,1,0,0,0,0,1,0,0,0,0
275,18,17,2,0,0,0,1,0,0,0,0,0
276,19,18,3,0,0,0,0,1,0,0,0,1
277,18,18,17,0,0,0,1,0,0,0,0,1
278,31,20,4,0,0,0,0,1,0,0,0,0
279,32,29,2,0,0,1,0,1,0,0,0,0
280,38,38,1,0,0,0,0,1,0,0,0,1
281,23,18,13,0,0,2,1,0,0,0,0,1
282,51,50,2,0,0,0,0,1,0,0,0,0
283,22,22,1,0,0,0,1,0,0,0,0,0
284,25,23,4,0,0,0,1,0,0,0,0,0
285,23,17,9,0,0,2,1,0,0,0,0,1
286,18,18,6,0,0,1,1,0,0,0,0,1
287,34,18,35,0,0,3,1,0,0,0,0,1
288,33,22,9,0,0,2,1,0,0,0,0,0
289,50,35,6,0,0,0,1,0,0,0,0,0
290,26,19,10,0,0,0,1,0,0,0,0,0
291,45,17,78,1,4,3,0,1,0,0,0,1
292,48,48,1,0,0,0,0,1,0,0,0,0
293,24,18,24,0,0,3,1,0,0,0,0,1
294,25,18,14,0,1,2,1,0,0,0,0,0
295,31,21,7,0,0,1,0,1,0,0,0,0
296,25,25,3,0,0,0,0,0,1,0,0,0
297,33,23,23,0,0,3,1,0,0,0,0,1
298,33,23,25,0,0,3,1,0,0,0,0,0
299,25,17,4,0,1,0,1,0,0,0,0,0
300,19,19,1,0,0,0,1,0,0,0,0,0
301,22,22,5,0,0,0,0,1,0,0,0,0
302,53,46,10,0,2,2,1,0,0,0,0,0
303,24,18,20,0,0,2,1,0,0,0,0,1
304,29,25,8,0,0,0,1,0,0,0,0,0
305,20,20,3,0,0,0,0,0,1,0,0,0
306,37,37,3,0,0,0,0,1,0,0,0,0
307,54,54,1,0,0,0,0,1,0,0,0,0
308,19,19,1,0,0,0,1,0,0,0,0,0
309,24,24,2,0,0,0,1,0,0,0,0,1
310,50,23,22,0,0,1,1,0,0,0,0,0
311,18,18,1,0,0,0,0,0,1,0,0,0
312,20,20,6,0,0,0,0,1,0,0,0,0
313,55,48,7,0,0,0,0,1,0,0,0,0
314,28,22,12,0,2,1,1,0,0,0,0,1
315,19,18,6,0,0,0,1,0,0,0,0,0
316,19,18,7,0,0,0,0,1,0,0,0,1
317,25,19,19,0,0,5,1,0,0,0,0,1
318,18,18,3,0,0,0,1,0,0,0,0,1
319,18,18,7,0,0,0,1,0,0,0,0,0
320,19,18,7,0,0,0,1,0,0,0,0,0
321,46,44,3,0,0,0,0,0,1,0,0,1
322,33,33,1,0,0,0,0,1,0,0,0,0
323,24,22,7,0,0,0,0,1,0,0,0,0
324,23,18,6,0,0,2,1,0,0,0,0,0
325,22,14,8,0,0,0,0,1,0,0,0,1
326,30,30,1,0,0,0,0,1,0,0,0,0
327,22,18,8,0,0,0,1,0,0,0,0,1
328,33,22,4,0,0,1,0,1,0,0,0,0
329,21,21,3,0,0,0,0,1,0,0,0,0
330,31,31,2,0,0,0,0,1,0,0,0,0
331,22,21,3,0,0,0,0,0,1,0,0,1
332,22,19,2,0,0,0,1,0,0,0,0,1
333,32,18,20,0,0,2,0,1,0,0,0,0
334,48,36,6,0,0,0,1,0,0,0,0,0
335,27,25,2,0,0,0,1,0,0,0,0,0
336,36,18,10,0,0,1,1,0,0,0,0,0
337,22,22,1,0,0,0,0,1,0,0,0,0
338,38,38,1,0,0,0,0,1,0,0,0,1
339,24,18,19,0,0,3,1,0,0,0,0,1
340,24,23,4,0,0,0,1,0,0,0,0,1
341,49,44,14,0,0,0,0,1,0,0,0,1
342,26,18,8,0,0,1,0,1,0,0,0,1
343,23,17,16,0,0,3,1,0,0,0,0,1
344,26,18,8,0,0,3,1,0,0,0,0,0
345,60,47,8,0,0,1,0,1,0,0,0,0
346,39,39,1,0,0,0,1,0,0,0,0,0
347,20,17,9,0,0,2,1,0,0,0,0,0
348,51,40,2,0,0,0,1,0,0,0,0,0
349,55,30,31,0,5,1,1,0,0,0,0,1
350,33,19,4,0,0,0,1,0,0,0,0,0
351,18,18,3,0,0,0,1,0,0,0,0,1
352,18,18,3,0,0,0,1,0,0,0,0,1
353,48,48,3,0,0,0,0,1,0,0,0,0
354,21,21,2,0,0,0,0,0,1,0,0,0
355,34,24,8,0,0,1,0,1,0,0,0,0
356,44,39,10,0,0,1,0,1,0,0,0,0
357,54,54,1,0,0,0,0,1,0,0,0,0
358,32,23,7,0,0,0,0,0,1,0,0,1
359,56,53,4,0,0,0,0,1,0,0,0,1
360,32,32,2,0,0,0,0,0,0,1,0,0
361,55,55,4,0,0,0,0,0,1,0,0,0
362,26,21,2,0,0,0,0,0,1,0,0,0
363,18,15,7,0,0,0,0,1,0,0,0,1
364,23,23,4,0,0,0,1,0,0,0,0,0
365,46,16,36,1,3,2,1,0,0,0,0,0
366,27,27,1,0,0,0,0,1,0,0,0,0
367,28,16,13,0,1,1,1,0,0,0,0,0
368,27,27,1,0,0,0,0,1,0,0,0,1
369,51,51,1,0,0,0,1,0,0,0,0,0
370,26,20,7,0,0,0,1,0,0,0,0,1
371,57,57,2,0,0,0,0,1,0,0,0,0
372,35,35,2,0,0,0,1,0,0,0,0,0
373,24,24,4,0,0,0,0,1,0,0,0,1
374,49,27,39,0,0,0,0,0,1,0,0,1
375,64,30,55,0,5,4,1,0,0,0,0,1
376,24,23,6,0,0,1,0,1,0,0,0,0
377,48,46,4,0,0,0,0,1,0,0,0,0
378,50,23,33,0,2,5,0,1,0,0,0,0
379,22,16,7,1,1,0,1,0,0,0,0,0
380,45,32,22,0,0,3,0,0,0,0,0,0
381,53,53,2,0,0,0,1,0,0,0,0,0
382,24,24,1,0,0,0,1,0,0,0,0,0
383,46,46,5,0,0,0,0,1,0,0,0,0
384,28,21,11,0,0,2,0,0,1,0,0,0
385,26,24,4,0,0,0,0,0,0,0,0,0
386,30,29,3,0,0,1,1,0,0,0,0,0
387,31,23,8,0,0,2,1,0,0,0,0,0
388,22,22,3,0,0,0,0,0,0,0,0,0
389,21,21,3,0,0,0,0,1,0,0,0,0
390,45,45,2,0,0,0,0,1,0,0,0,1
391,52,52,1,0,0,0,1,0,0,0,0,1
392,49,32,12,0,1,2,1,0,0,0,0,0
393,21,21,1,0,0,0,0,1,0,0,0,0
394,19,19,1,0,0,0,0,1,0,0,0,0
395,25,16,9,0,0,1,0,1,0,0,0,0
396,28,28,3,0,0,0,1,0,0,0,0,0
397,43,19,17,0,2,4,0,1,0,0,0,0
398,34,34,4,0,0,0,0,0,0,0,0,0
399,23,23,2,0,0,0,0,1,0,0,0,0
400,32,32,2,0,0,0,1,0,0,0,0,0
401,40,19,30,0,5,5,1,0,0,0,0,1
402,22,20,16,0,0,2,0,1,0,0,0,1
403,18,18,2,0,0,0,0,0,1,0,0,1
404,44,30,2,0,0,0,0,1,0,0,0,0
405,25,18,10,0,1,1,1,0,0,0,0,1
406,44,30,10,0,0,0,0,1,0,0,0,1
407,41,30,4,0,0,0,1,0,0,0,0,0
408,24,24,1,0,0,0,1,0,0,0,0,0
409,20,19,3,0,0,0,0,1,0,0,0,0
410,55,50,14,1,1,2,1,0,0,0,0,0
411,22,19,6,0,0,0,1,0,0,0,0,0
412,44,44,1,0,0,0,0,0,0,0,0,0
413,37,22,8,0,0,1,1,0,0,0,0,1
414,18,16,3,0,0,0,1,0,0,0,0,1
415,61,61,3,0,0,0,0,1,0,0,0,0
416,47,23,4,0,1,0,1,0,0,0,0,0
417,35,35,3,0,0,0,1,0,0,0,0,0
418,39,27,2,0,0,0,0,1,0,0,0,0
419,26,15,27,0,3,1,1,0,0,0,0,1
420,27,27,1,0,0,0,1,0,0,0,0,0
421,20,19,4,0,0,0,1,0,0,0,0,0
422,37,21,8,0,1,3,0,1,0,0,0,0
423,21,18,14,0,0,1,0,0,1,0,0,0
424,24,19,16,0,0,2,1,0,0,0,0,1
425,42,27,19,0,0,5,0,1,0,0,0,0
426,39,39,1,0,0,0,0,1,0,0,0,0
427,35,19,20,0,1,4,1,0,0,0,0,0
428,23,19,9,0,0,0,0,0,1,0,0,0
429,22,22,1,0,0,0,1,0,0,0,0,0
430,19,17,5,0,0,1,1,0,0,0,0,0
431,62,62,2,0,0,0,0,0,1,0,0,0
432,47,43,4,0,0,0,0,1,0,0,0,1
433,63,63,1,0,0,0,0,1,0,0,0,1
434,43,43,1,0,0,0,0,1,0,0,0,0
435,27,20,12,0,0,0,1,0,0,0,0,1
436,20,20,1,0,0,0,0,1,0,0,0,0
437,28,28,1,0,1,0,0,0,0,0,0,1
438,50,50,3,0,0,0,0,1,0,0,0,0
439,28,28,3,0,0,0,0,0,1,0,0,0
440,21,21,2,0,0,0,1,0,0,0,0,0
441,18,18,2,0,0,0,0,1,0,0,0,0
442,24,24,1,0,0,0,1,0,0,0,0,0
443,30,30,1,0,0,0,0,0,1,0,0,0
444,22,17,6,0,0,0,0,1,0,0,0,0
445,28,24,3,0,0,0,1,0,0,0,0,1
446,37,37,3,0,0,0,1,0,0,0,0,0
447,35,22,5,0,0,0,1,0,0,0,0,0
448,27,25,5,0,1,0,1,0,0,0,0,0
449,41,36,2,0,0,0,1,0,0,0,0,0
450,57,57,1,0,0,0,0,1,0,0,0,0
451,34,30,3,0,0,0,0,1,0,0,0,0
452,35,35,3,0,0,0,0,1,0,0,0,0
453,22,18,5,0,0,1,1,0,0,0,0,1
454,49,49,1,0,0,0,0,1,0,0,0,0
455,27,23,14,0,0,0,0,0,1,0,0,1
456,26,18,14,0,0,3,1,0,0,0,0,0
457,20,18,6,0,0,2,0,1,0,0,0,0
458,19,19,1,0,0,0,1,0,0,0,0,0
459,20,18,10,0,0,0,1,0,0,0,0,0
460,28,28,1,0,0,0,1,0,0,0,0,0
461,27,27,1,0,0,0,1,0,0,0,0,0
462,58,35,31,0,1,5,1,0,0,0,0,1
463,28,28,5,0,0,0,0,0,1,0,0,0
464,23,20,6,0,0,0,0,1,0,0,0,1
465,25,20,14,0,0,4,0,1,0,0,0,0
466,23,22,3,0,0,0,0,1,0,0,0,0
467,20,17,4,0,0,0,0,1,0,0,0,1
468,20,17,5,0,0,0,0,1,0,0,0,0
469,36,36,2,0,0,0,1,0,0,0,0,0
470,24,14,26,0,0,2,1,0,0,0,0,1
471,19,19,2,0,0,0,0,0,0,0,0,0
472,36,21,16,0,2,5,1,0,0,0,0,0
473,19,19,4,0,0,0,1,0,0,0,0,0
474,19,19,1,0,0,0,1,0,0,0,0,0
475,26,26,4,0,0,0,1,0,0,0,0,1
476,20,20,5,0,0,0,0,1,0,0,0,1
477,28,18,15,0,0,1,1,0,0,0,0,1
478,28,20,16,0,0,0,1,0,0,0,0,0
479,43,40,6,0,1,0,0,1,0,0,0,0
480,36,34,7,0,0,0,0,1,0,0,0,1
481,29,29,3,0,2,0,1,0,0,0,0,1
482,20,19,2,0,0,0,1,0,0,0,0,1
483,45,19,39,0,2,3,1,0,0,0,0,0
484,21,19,3,0,0,0,0,0,1,0,0,1
485,33,33,2,0,0,0,1,0,0,0,0,0
486,30,30,2,0,0,0,1,0,0,0,0,0
487,50,50,1,0,0,0,0,1,0,0,0,0
488,49,49,2,0,0,0,0,0,1,0,0,0
489,18,18,1,0,0,0,1,0,0,0,0,0
490,35,19,47,0,1,3,1,0,0,0,0,0
491,27,18,11,0,3,2,0,0,0,0,0,1
492,27,18,12,0,3,2,0,0,0,0,0,1
493,52,52,3,0,0,0,0,0,0,0,0,0
494,29,29,1,0,0,0,1,0,0,0,0,0
495,24,24,1,0,0,0,1,0,0,0,0,0
496,34,34,1,0,0,0,1,0,0,0,0,1
497,19,18,5,0,0,0,1,0,0,0,0,0
498,25,25,2,0,0,0,0,1,0,0,0,0
499,26,19,15,0,1,3,0,0,1,0,0,1
500,19,19,7,0,0,0,1,0,0,0,0,1
501,24,20,4,0,0,0,1,0,0,0,0,0
502,18,18,2,0,0,0,0,0,0,1,0,1
503,34,17,6,0,0,1,1,0,0,0,0,0
504,42,20,34,0,0,1,1,0,0,0,0,1
505,50,43,5,0,0,0,0,1,0,0,0,0
506,30,20,6,0,0,0,1,0,0,0,0,1
507,21,20,2,0,0,0,1,0,0,0,0,0
508,42,42,4,0,0,0,1,0,0,0,0,0
509,43,43,2,0,0,0,1,0,0,0,0,0
510,34,20,15,0,0,1,1,0,0,0,0,0
511,25,16,14,0,0,0,1,0,0,0,0,1
512,37,35,3,0,0,1,0,1,0,0,0,0
513,26,26,2,0,0,0,1,0,0,0,0,0
514,20,20,1,0,0,0,0,0,1,0,0,0
515,19,19,2,0,0,0,1,0,0,0,0,0
516,39,34,5,0,0,0,1,0,0,0,0,0
517,43,43,7,0,1,0,0,1,0,0,0,0
518,20,20,4,0,0,0,1,0,0,0,0,1
519,34,25,5,0,0,0,1,0,0,0,0,1
520,47,26,39,1,3,1,1,0,0,0,0,1
521,42,42,2,0,0,0,1,0,0,0,0,0
522,20,19,4,0,0,0,1,0,0,0,0,0
523,58,58,2,0,0,0,0,1,0,0,0,0
524,31,31,4,0,0,0,0,1,0,0,0,1
525,20,18,8,0,0,0,0,0,0,0,0,0
526,21,19,2,0,0,0,0,0,1,0,0,0
527,18,18,1,0,0,0,0,1,0,0,0,0
528,65,65,2,0,0,0,0,1,0,0,0,0
529,35,33,2,0,0,0,0,0,1,0,0,0
530,26,18,20,0,2,0,1,0,0,0,0,0
531,20,20,2,0,0,0,1,0,0,0,0,0
532,19,15,11,0,0,0,0,1,0,0,0,1
533,32,22,6,0,2,1,1,0,0,0,0,1
